dataset,model,role,optimized_metric,alpha,ndcg,hr,precision,recall,LIR,SEP,ETD,ndcg_delta_pct,hr_delta_pct,precision_delta_pct,recall_delta_pct,LIR_delta_pct,SEP_delta_pct,ETD_delta_pct,ndcg_retention_pct,optimized_metric_gain_pct,sweep_protocol,ndcg_scope
ML-1M,PGPR,main,LIR,0.5,0.10109235111464653,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.722162995805205,0.4883615456968317,0.15836092715232986,-0.7890175244778712,0.0,0.0,0.0,56.30628040894491,1.7851871412128368,-2.626488852692728,99.21098247552213,56.30628040894491,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.55,0.10095336073296853,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.722162995805205,0.4883615456968317,0.15836092715232986,-0.9254212401782212,0.0,0.0,0.0,56.30628040894491,1.7851871412128368,-2.626488852692728,99.07457875982178,56.30628040894491,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.6,0.10079392843373493,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,-1.0818864412631028,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,98.91811355873689,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.65,0.10044693786921238,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,-1.4224193741353124,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,98.5775806258647,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.7,0.10027613415765742,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,-1.590044361060546,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,98.40995563893945,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.75,0.10017328664370902,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,-1.69097784209527,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,98.30902215790474,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.8,0.09984941279603698,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,-2.008824269360869,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,97.99117573063913,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.85,0.0993289778331178,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,-2.5195737317734013,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,97.4804262682266,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.9,0.09921751191299474,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,-2.6289652270350428,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,97.37103477296496,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
ML-1M,PGPR,main,LIR,0.95,0.09893914671733607,0.5112582781456954,0.09291390728477042,0.042342391764034315,0.7221629958052049,0.4883615456968317,0.15836092715232986,-2.9021499363012087,0.0,0.0,0.0,56.306280408944886,1.7851871412128368,-2.626488852692728,97.09785006369879,56.306280408944886,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
