protocol,model,objective,rec_metric,alpha,rec_value,explainability
legacy_four_model,PGPR,LIR,recall,0.95,0.0345,0.9626
legacy_four_model,PGPR,LIR,recall,1.0,0.0205,0.9627
legacy_four_model,UCPR,LIR,recall,0.0,0.0489,0.4568
legacy_four_model,UCPR,LIR,recall,0.05,0.0491,0.6711
legacy_four_model,UCPR,LIR,recall,0.1,0.0492,0.6863
legacy_four_model,UCPR,LIR,recall,0.15,0.0493,0.6985
legacy_four_model,UCPR,LIR,recall,0.2,0.0489,0.7075
legacy_four_model,UCPR,LIR,recall,0.25,0.0481,0.7145
legacy_four_model,UCPR,LIR,recall,0.3,0.0477,0.7198
legacy_four_model,UCPR,LIR,recall,0.35,0.0474,0.7238
legacy_four_model,UCPR,LIR,recall,0.4,0.0471,0.7266
legacy_four_model,UCPR,LIR,recall,0.45,0.0466,0.7288
legacy_four_model,UCPR,LIR,recall,0.5,0.0461,0.7305
legacy_four_model,UCPR,LIR,recall,0.55,0.0456,0.7317
legacy_four_model,UCPR,LIR,recall,0.6,0.0455,0.7325
legacy_four_model,UCPR,LIR,recall,0.65,0.0452,0.7331
legacy_four_model,UCPR,LIR,recall,0.7,0.0449,0.7335
legacy_four_model,UCPR,LIR,recall,0.75,0.0448,0.7338
legacy_four_model,UCPR,LIR,recall,0.8,0.0447,0.734
legacy_four_model,UCPR,LIR,recall,0.85,0.0445,0.7341
legacy_four_model,UCPR,LIR,recall,0.9,0.0444,0.7341
legacy_four_model,UCPR,LIR,recall,0.95,0.0444,0.7342
legacy_four_model,UCPR,LIR,recall,1.0,0.0439,0.7342
legacy_four_model,CAFE,LIR,recall,0.0,0.052,0.3949
legacy_four_model,CAFE,LIR,recall,0.05,0.0504,0.4897
legacy_four_model,CAFE,LIR,recall,0.1,0.0454,0.5911
legacy_four_model,CAFE,LIR,recall,0.15,0.0425,0.6447
legacy_four_model,CAFE,LIR,recall,0.2,0.0398,0.6696
legacy_four_model,CAFE,LIR,recall,0.25,0.0382,0.6818
legacy_four_model,CAFE,LIR,recall,0.3,0.0367,0.6883
legacy_four_model,CAFE,LIR,recall,0.35,0.0361,0.6921
legacy_four_model,CAFE,LIR,recall,0.4,0.0354,0.6944
legacy_four_model,CAFE,LIR,recall,0.45,0.0348,0.6959
legacy_four_model,CAFE,LIR,recall,0.5,0.0343,0.6969
legacy_four_model,CAFE,LIR,recall,0.55,0.0339,0.6976
legacy_four_model,CAFE,LIR,recall,0.6,0.0337,0.698
legacy_four_model,CAFE,LIR,recall,0.65,0.0335,0.6982
legacy_four_model,CAFE,LIR,recall,0.7,0.0334,0.6984
legacy_four_model,CAFE,LIR,recall,0.75,0.0333,0.6985
legacy_four_model,CAFE,LIR,recall,0.8,0.0333,0.6985
legacy_four_model,CAFE,LIR,recall,0.85,0.0332,0.6985
legacy_four_model,CAFE,LIR,recall,0.9,0.0332,0.6986
legacy_four_model,CAFE,LIR,recall,0.95,0.0332,0.6986
legacy_four_model,CAFE,LIR,recall,1.0,0.0221,0.6986
legacy_four_model,TPRec,LIR,recall,0.0,0.0438,0.4502
legacy_four_model,TPRec,LIR,recall,0.05,0.0446,0.7761
legacy_four_model,TPRec,LIR,recall,0.1,0.0452,0.8255
legacy_four_model,TPRec,LIR,recall,0.15,0.0456,0.8577
legacy_four_model,TPRec,LIR,recall,0.2,0.0455,0.8795
legacy_four_model,TPRec,LIR,recall,0.25,0.0454,0.8949
legacy_four_model,TPRec,LIR,recall,0.3,0.0453,0.9064
legacy_four_model,TPRec,LIR,recall,0.35,0.0451,0.9152
legacy_four_model,TPRec,LIR,recall,0.4,0.0446,0.9218
legacy_four_model,TPRec,LIR,recall,0.45,0.0439,0.927
legacy_four_model,TPRec,LIR,recall,0.5,0.0433,0.9312
legacy_four_model,TPRec,LIR,recall,0.55,0.0428,0.9345
legacy_four_model,TPRec,LIR,recall,0.6,0.0421,0.9374
legacy_four_model,TPRec,LIR,recall,0.65,0.0414,0.9395
